SA,SD,PA,PI,LR,HC,fuel,bus_num,file_index
18,16,506,291,3138,414,8.571,##########kd000069,154_21
13,25,339,161,1371,499,6.895,##########kd000069,155_12
19,38,551,0,1145,651,7.516,##########kd000069,155_14
2,15,230,0,370,602,5.234,##########kd000069,156_8
21,68,733,300,1731,1140,11.65,##########kd000069,156_9
20,15,442,65,2060,383,5.444,##########kd000069,156_10
15,45,836,435,1998,2241,16.35,##########kd000069,156_21
14,28,574,178,1992,731,8.717,##########kd000069,157_6
19,61,940,164,1948,2281,17.726,##########kd000069,157_9
22,40,575,300,2314,900,7.705,##########kd000069,157_28
16,37,409,185,1278,943,7.799,##########kd000069,157_32
5,15,370,302,970,475,5.569,##########kd000069,158_1
19,43,601,129,1767,1515,12.295,##########kd000069,158_2
10,35,810,531,2831,2386,17.436,##########kd000069,158_14
29,51,752,137,1805,1563,13.154,##########kd000069,159_7
21,62,752,214,2380,1054,12.906,##########kd000069,159_23
1,8,266,0,757,705,5.986,##########kd000069,159_28
5,15,217,91,916,578,5.18,##########kd000069,159_30
4,23,321,0,630,549,5.45,##########kd000069,159_34
11,40,472,509,1764,905,9.006,##########kd000069,160_7
21,96,1195,345,3679,2029,21.856,##########kd000069,160_10
9,37,737,528,1758,1015,11.921,##########kd000069,160_17
15,62,988,612,3198,2176,20.967,##########kd000069,161_15
4,15,210,199,726,693,5.496,##########kd000069,161_24
4,35,426,274,1196,735,7.356,##########kd000069,161_28
27,95,1208,233,2557,2203,19.647,##########kd000069,162_4
12,24,395,135,1446,836,8.222,##########kd000069,162_11
13,29,460,0,1536,363,6.019,##########kd000069,162_12
10,45,689,316,1782,2619,18.479,##########kd000069,162_16
8,22,332,65,983,496,5.53,##########kd000069,163_11
22,75,956,485,2716,1489,17.329,##########kd000069,163_12
9,12,475,215,1130,654,8.354,##########kd000033,164_3
3,21,396,88,558,496,5.225,##########kd000033,164_8
20,38,919,270,2021,1193,14.644,##########kd000033,164_9
27,29,847,331,3005,1268,13.391,##########kd000033,164_14
7,26,550,583,1545,927,9.412,##########kd000069,165_1
8,12,259,0,746,519,5.009,##########kd000069,165_4
1,14,217,62,501,809,5.3,##########kd000069,165_10
7,22,333,62,673,528,6.089,##########kd000069,165_11
11,58,618,257,877,1411,11.405,##########kd000090,166_11
0,0,38,0,0,1542,7.859,##########kd000090,167_7
0,0,66,0,0,1463,7.656,##########kd000090,167_8
11,47,621,459,1397,1221,10.35,##########kd000090,167_11
